epoch,dev_f1,dev_precision,dev_recall,dev_support,loss,test_f1,test_precision,test_recall,test_support,val_dev_f1,val_dev_precision,val_dev_recall,val_dev_support,val_loss,val_test_f1,val_test_precision,val_test_recall,val_test_support
25,"""[0.9138447707521725, 0.5867768595041322]""","""[0.920951302378256, 0.5658350658350658]""","""[0.9068470745669467, 0.6093283582089553]""","""[13451, 2680]""",0.03500012308359146,"""[0.9161924680510097, 0.7911887118059081]""","""[0.9437092577567635, 0.737602523659306]""","""[0.8902348904724202, 0.8531708385025177]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"""[0.9076163880494242, 0.6054566247345204]""","""[0.9348305752561071, 0.5385062481836675]""","""[0.8819418630585086, 0.6914179104477612]""","""[13451, 2680]""",0.034459687769412994,"""[0.9039524191167166, 0.7869639794168095]""","""[0.9673196713911709, 0.6871255854482082]""","""[0.8483768804433888, 0.9207472816171641]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"""[0.9150890765053743, 0.5752558139534883]""","""[0.9155998809169396, 0.5736549165120594]""","""[0.914578841721805, 0.576865671641791]""","""[13451, 2680]""",0.03215980902314186,"""[0.9166610848393104, 0.7820175899646099]""","""[0.9307886933101178, 0.7521569156106768]""","""[0.9029559250461864, 0.8143472232357878]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"""[0.9108708025042686, 0.6023362112747588]""","""[0.9301766893986361, 0.5512860241710567]""","""[0.8923500111515873, 0.6638059701492537]""","""[13451, 2680]""",0.03423869237303734,"""[0.9101023833966871, 0.7916666666666669]""","""[0.9593179691155826, 0.7075455433595771]""","""[0.8656901557139087, 0.898489381887178]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"""[0.9143456124588201, 0.5877477477477477]""","""[0.9208958600407209, 0.5682926829268292]""","""[0.9078878893762545, 0.6085820895522388]""","""[13451, 2680]""",0.029163502156734467,"""[0.9181148187430311, 0.7968560248279585]""","""[0.94693144844609, 0.7409196411768396]""","""[0.8910002639218791, 0.8619280449536598]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"""[0.9096528042731782, 0.6087243886318572]""","""[0.9343208715416569, 0.5462633451957295]""","""[0.8862538101256412, 0.6873134328358209]""","""[13451, 2680]""",0.028426330536603928,"""[0.9052130711636694, 0.7865494311556521]""","""[0.9635334425741099, 0.6922010206345685]""","""[0.8535497492742148, 0.9106764941983507]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"""[0.9147484441778512, 0.5930565497494631]""","""[0.9226348029947818, 0.5698074277854195]""","""[0.9069957623968479, 0.6182835820895523]""","""[13451, 2680]""",0.030716272071003914,"""[0.9184320448453678, 0.7980733605038904]""","""[0.9478754177549358, 0.7410859502064306]""","""[0.8907627342306678, 0.8645552068890024]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"""[0.91089636280627, 0.6082301773168285]""","""[0.9328294241408868, 0.5512431776834446]""","""[0.8899710058731692, 0.6783582089552239]""","""[13451, 2680]""",0.030446123331785202,"""[0.9093790399933275, 0.7913853243303786]""","""[0.9607013833817958, 0.704719024279038]""","""[0.8632620744259699, 0.9023571480697657]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"""[0.9158850453965635, 0.6002139800285307]""","""[0.9244868590471862, 0.5747950819672131]""","""[0.9074418258865512, 0.6279850746268657]""","""[13451, 2680]""",0.03139188140630722,"""[0.9175787479384464, 0.7972098326570307]""","""[0.9487837190292302, 0.7375279225614296]""","""[0.8883610451306413, 0.8674012989856236]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"""[0.9163025210084034, 0.5915800984144342]""","""[0.9206694686280397, 0.5781973637335234]""","""[0.9119768046985354, 0.6055970149253731]""","""[13451, 2680]""",0.03165406361222267,"""[0.9201874119813671, 0.799100143159043]""","""[0.9449079481617443, 0.7497281739686601]""","""[0.8967273686988652, 0.8554331168357294]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"""[0.9039274460072246, 0.5993589743589743]""","""[0.935565985204041, 0.5252808988764045]""","""[0.8743587837335514, 0.6977611940298507]""","""[13451, 2680]""",0.027014631778001785,"""[0.8996688041716582, 0.7791256864509324]""","""[0.9653107515499774, 0.6776770293609672]""","""[0.8423858537872789, 0.9162957016711669]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"""[0.915759654092739, 0.5841001104158998]""","""[0.9182925917619795, 0.5762527233115469]""","""[0.9132406512526949, 0.5921641791044776]""","""[13451, 2680]""",0.02559487335383892,"""[0.9212481426448736, 0.8000411579091781]""","""[0.9435528500276702, 0.7547401799003429]""","""[0.8999736078120876, 0.8511274903305845]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"""[0.7982108626198083, 0.46090815978149546]""","""[0.934656823623304, 0.3315867037825446]""","""[0.6965281391718088, 0.7555970149253731]""","""[13451, 2680]""",0.028949465602636337,"""[0.8656751444747571, 0.7384026508226692]""","""[0.9743132593766508, 0.6066651020887116]""","""[0.7788334652942729, 0.9432241115084288]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"""[0.9158843409688321, 0.6022727272727274]""","""[0.9253357614386524, 0.5745257452574526]""","""[0.906624042822095, 0.6328358208955224]""","""[13451, 2680]""",0.034692686051130295,"""[0.9183034133318805, 0.7985084654662724]""","""[0.9488290925467238, 0.739807033924681]""","""[0.8896806545262602, 0.8673283222651974]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"""[0.9170556821152481, 0.595077484047402]""","""[0.9213567462104157, 0.5818181818181818]""","""[0.9127945877629916, 0.608955223880597]""","""[13451, 2680]""",0.032002173364162445,"""[0.9207040121120363, 0.7991783635741184]""","""[0.9437177852906945, 0.7526923324950022]""","""[0.8987859593560306, 0.8517842808144201]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"""[0.8979702091533533, 0.5834908632640202]""","""[0.9335633475086256, 0.504907306434024]""","""[0.8649914504497807, 0.691044776119403]""","""[13451, 2680]""",0.026478130370378494,"""[0.9024379985700066, 0.781555074238001]""","""[0.9624988785549807, 0.6857441886085711]""","""[0.8494325679598839, 0.9084871925855652]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"""[0.9161710245763663, 0.5946825827455235]""","""[0.9219996988405361, 0.577044577044577]""","""[0.9104155824845737, 0.6134328358208955]""","""[13451, 2680]""",0.023244038224220276,"""[0.9202066356622782, 0.8000543607515372]""","""[0.9462119733429998, 0.7485060394151303]""","""[0.8955925046186329, 0.8592279062978909]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"""[0.9141138883668485, 0.5960756584762241]""","""[0.9244336323551772, 0.5663419549882432]""","""[0.9040220057988254, 0.6291044776119403]""","""[13451, 2680]""",0.024159884080290794,"""[0.9176017691866656, 0.798342910597354]""","""[0.9503732609433322, 0.7362129521227433]""","""[0.88701504354711, 0.8719258556520469]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"""[0.9052342438577751, 0.5894214876033058]""","""[0.9297077031580597, 0.529080118694362]""","""[0.8820162069734592, 0.6652985074626866]""","""[13451, 2680]""",0.021999496966600418,"""[0.9115487963655503, 0.7939202271847167]""","""[0.9591348956511601, 0.7116575065085334]""","""[0.8684613354447084, 0.8976866379624899]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"""[0.9148912270191335, 0.5908190819081908]""","""[0.9216203983101992, 0.5707826086956522]""","""[0.9082596089510073, 0.6123134328358208]""","""[13451, 2680]""",0.02111050859093666,"""[0.9204857773385143, 0.7997271952259164]""","""[0.9450390592421674, 0.7506081167584177]""","""[0.8971760358933756, 0.8557250237174341]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"""[0.9112671801842622, 0.5932848736587054]""","""[0.9258804573006982, 0.5532601678502259]""","""[0.8971080217084232, 0.6395522388059701]""","""[13451, 2680]""",0.02106107398867607,"""[0.9172249719707949, 0.7985223642172524]""","""[0.9516000907852927, 0.7339859284184767]""","""[0.8852467669569807, 0.87550171495293]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"""[0.9111354288517415, 0.5912168026384309]""","""[0.9251340996168582, 0.5527426160337553]""","""[0.8975540851981265, 0.6354477611940299]""","""[13451, 2680]""",0.01988830976188183,"""[0.9168158524086095, 0.7971743693978874]""","""[0.9506589202210571, 0.7335050282070149]""","""[0.8852995513328055, 0.8729475297380136]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"""[0.9114000376860749, 0.5894883883359525]""","""[0.9241822072760624, 0.5539875287167706]""","""[0.8989666195821872, 0.6298507462686567]""","""[13451, 2680]""",0.01866871677339077,"""[0.9166689404895085, 0.7956370449678801]""","""[0.9487968820605512, 0.7346308310163732]""","""[0.8866455529163367, 0.8676932058673283]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"""[0.9073772663613309, 0.5812082834160535]""","""[0.9242751388032079, 0.5368321214037306]""","""[0.8910861645974277, 0.6335820895522388]""","""[13451, 2680]""",0.01776132732629776,"""[0.915108661460399, 0.7935747780105757]""","""[0.9496976750787748, 0.7290113650250519]""","""[0.8829506466086039, 0.8706852514048019]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"""[0.9062547326972589, 0.5767521367521367]""","""[0.9233855412391019, 0.5321766561514195]""","""[0.8897479741283176, 0.6294776119402985]""","""[13451, 2680]""",0.017038768157362938,"""[0.9154217986181283, 0.7932024572649573]""","""[0.9483929379809869, 0.7310603729460274]""","""[0.8846661388229085, 0.8668904619426403]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
